time, color, angle, distance, speed, color_dev, color_int, color_der, speed_dev, speed_int, speed_der
0, 15, -18.0, 864, 1394.4, -18.0, -18.0, -18.0, 664, 664.0000000000001, 664.0000000000001
57, 15, -10.8, 868, 1203.6, -18.0, -36.0, 0.0, 668, 1332.0, 4
111, 15, -12.6, 864, 1194.0, -18.0, -54.0, 0.0, 664, 1996.0, -4
166, 18, -11.4, 873, 1214.1, -15.0, -69.0, 3.0, 673, 2669.0, 9
218, 21, -11.4, 869, 1203.0, -12.0, -81.0, 3.0, 669, 3338.000000000001, -4
278, 35, -0.1000000000000005, 865, 1195.8, 2.0, -79.0, 14.0, 665, 4003.0, -4
331, 40, -1.9, 861, 1188.6, 7.0, -72.0, 5.0, 661, 4664.000000000001, -4
387, 38, -5.7, 856, 1179.3, 5.0, -67.0, -2.0, 656, 5320.0, -5
441, 33, -9.199999999999999, 864, 1197.6, 0.0, -67.0, -5.0, 664, 5984.000000000001, 8
497, 40, 0.3000000000000003, 869, 1205.7, 7.0, -60.0, 7.0, 669, 6653.0, 5
557, 48, 5.5, 818, 1097.1, 15.0, -45.0, 8.0, 618, 7271.000000000001, -51
608, 55, 10.0, 879, 1240.5, 22.0, -23.0, 7.0, 679, 7950.0, 61
668, 55, 8.700000000000001, 826, 1110.9, 22.0, -1.0, 0.0, 626, 8576.000000000001, -53
728, 54, 9.9, 810, 1093.2, 21.0, 20.0, -1.0, 610, 9186.0, -16
779, 56, 14.5, 780, 1035.0, 23.0, 43.0, 2.0, 580, 9766.0, -30
829, 54, 13.8, 766, 1014.6, 21.0, 64.0, -2.0, 566, 10332.0, -14
887, 47, 9.900000000000002, 754, 993.6, 14.0, 78.00000000000001, -7.0, 554, 10886.0, -12
941, 34, 1.800000000000001, 754, 997.2000000000001, 1.0, 79.0, -13.0, 554, 11440.0, 0
997, 21, -4.600000000000001, 754, 997.2000000000001, -12.0, 67.0, -13.0, 554, 11994.0, 0
1051, 17, -3.3, 736, 959.4000000000001, -16.0, 51.00000000000001, -4.0, 536, 12530.0, -18
1105, 15, -4.9, 720, 931.2000000000001, -18.0, 33.0, -2.0, 520, 13050.0, -16
1159, 14, -6.7, 721, 938.1, -19.0, 14.0, -1.0, 521, 13571.0, 1
1212, 15, -7.100000000000001, 698, 889.5, -18.0, -4.0, 1.0, 498, 14069.0, -23
1268, 16, -8.4, 705, 911.1000000000001, -17.0, -21.0, 1.0, 505, 14574.0, 7
1325, 16, -10.6, 672, 839.7, -17.0, -38.0, 0.0, 472, 15046.0, -33
1377, 15, -13.3, 677, 860.1000000000001, -18.0, -56.00000000000001, -1.0, 477, 15523.0, 5
1435, 16, -13.6, 677, 858.6, -17.0, -73.00000000000001, 1.0, 477, 16000.0, 0
1487, 21, -10.8, 670, 843.9, -12.0, -85.0, 5.0, 470, 16470.0, -7
1540, 34, -1.5, 670, 846.0000000000001, 1.0, -84.0, 13.0, 470, 16940.0, 0
1597, 49, 7.1, 634, 770.4000000000002, 16.0, -68.00000000000001, 15.0, 434, 17374.0, -36
1650, 52, 4.2, 635, 783.2999999999999, 19.0, -49.0, 3.0, 435, 17809.0, 1
1708, 57, 9.600000000000001, 624, 759.9000000000001, 24.0, -25.0, 5.0, 424, 18233.0, -11
1761, 57, 9.500000000000002, 609, 731.7, 24.0, -1.0, 0.0, 409, 18642.0, -15
1817, 55, 9.9, 590, 696.3, 22.0, 21.0, -2.0, 390, 19032.0, -19
1871, 52, 10.1, 590, 702.0, 19.0, 40.0, -3.0, 390, 19422.0, 0
1925, 50, 11.5, 578, 676.8, 17.0, 57.0, -2.0, 378, 19800.0, -12
1978, 44, 8.200000000000001, 563, 648.9, 11.0, 68.00000000000001, -6.0, 363, 20163.0, -15
2031, 35, 3.3, 553, 632.4, 2.0, 70.0, -9.0, 353, 20516.0, -10
2087, 26, -1.0, 527, 580.8000000000001, -7.0, 63.00000000000001, -9.0, 327, 20843.0, -26
2141, 20, -3.2, 517, 567.6, -13.0, 50.0, -6.0, 317, 21160.0, -10
2200, 19, -2.5, 519, 574.8000000000001, -14.0, 36.0, -1.0, 319, 21479.0, 2
2261, 18, -4.4, 488, 509.1, -15.0, 21.0, -1.0, 288, 21767.0, -31
2317, 18, -5.4, 475, 491.1, -15.0, 6.0, 0.0, 275, 22042.0, -13
2367, 14, -10.9, 464, 471.9, -19.0, -13.0, -4.0, 264, 22306.0, -11
2421, 9, -15.8, 455, 456.3000000000001, -24.0, -37.0, -5.0, 255, 22561.0, -9
2477, 10, -14.7, 439, 425.4, -23.0, -60.0, 1.0, 239, 22800.0, -16
2531, 14, -13.5, 429, 409.2, -19.0, -79.0, 4.0, 229, 23029.0, -10
2589, 27, -4.4, 420, 393.3, -6.0, -85.0, 13.0, 220, 23249.0, -9
2647, 42, 3.5, 410, 375.0, 9.0, -76.00000000000001, 15.0, 210, 23459.0, -10
2701, 49, 3.9, 401, 359.1, 16.0, -60.0, 7.0, 201, 23660.0, -9
2756, 51, 4.0, 380, 317.7, 18.0, -42.0, 2.0, 180, 23840.0, -21
2815, 47, 0.8000000000000004, 364, 290.4, 14.0, -28.0, -4.0, 164, 24004.0, -16
2867, 44, 1.2, 365, 297.3, 11.0, -17.0, -3.0, 165, 24169.0, 1
2921, 51, 10.8, 353, 271.8, 18.0, 1.0, 7.0, 153, 24322.0, -12
2978, 51, 9.1, 340, 248.1, 18.0, 19.0, 0.0, 140, 24462.0, -13
3032, 61, 20.9, 328, 226.8, 28.0, 47.0, 10.0, 128, 24590.0, -12
3087, 64, 21.7, 326, 226.2, 31.0, 78.00000000000001, 3.0, 126, 24716.0, -2
3145, 51, 10.3, 326, 226.8, 18.0, 96.00000000000001, -13.0, 126, 24842.0, 0
3196, 32, -0.4000000000000004, 326, 226.8, -1.0, 95.0, -19.0, 126, 24968.0, 0
3255, 20, -2.999999999999999, 321, 216.3, -13.0, 82.00000000000001, -12.0, 121, 25089.0, -5
3309, 18, -0.2999999999999998, 326, 228.3, -15.0, 67.0, -2.0, 126, 25215.0, 5
3365, 19, 0.2000000000000002, 321, 216.3, -14.0, 53.00000000000001, 1.0, 121, 25336.0, -5
3425, 18, -2.7, 321, 217.8, -15.0, 38.0, -1.0, 121, 25457.0, 0
3482, 11, -10.7, 321, 217.8, -22.0, 16.0, -7.0, 121, 25578.0, 0
3540, 10, -10.4, 320, 215.7, -23.0, -7.0, -1.0, 120, 25698.0, -1
3597, 10, -12.2, 298, 169.8, -23.0, -30.0, 0.0, 98, 25796.0, -22
3657, 10, -14.5, 297, 174.3, -23.0, -53.00000000000001, 0.0, 97, 25893.0, -1
3711, 14, -12.8, 303, 187.2, -19.0, -72.0, 4.0, 103, 25996.0, 6
3762, 20, -10.7, 322, 225.3, -13.0, -85.0, 6.0, 122, 26118.0, 19
3816, 29, -6.0, 320, 215.4, -4.0, -89.0, 9.0, 120, 26238.0, -2
3868, 38, -1.9, 326, 228.6, 5.0, -84.0, 9.0, 126, 26364.0, 6
3919, 45, 1.100000000000001, 326, 226.8, 12.0, -72.0, 7.0, 126, 26490.0, 0
3979, 49, 2.8, 322, 218.4, 16.0, -56.00000000000001, 4.0, 122, 26612.0, -4
4036, 48, 1.399999999999999, 321, 217.5, 15.0, -41.00000000000001, -1.0, 121, 26733.0, -1
4093, 48, 3.4, 321, 217.8, 15.0, -26.0, 0.0, 121, 26854.0, 0
4146, 49, 5.9, 321, 217.8, 16.0, -10.0, 1.0, 121, 26975.0, 0
4201, 54, 12.0, 326, 228.3, 21.0, 11.0, 5.0, 126, 27101.0, 5
4256, 59, 16.6, 321, 216.3, 26.0, 37.0, 5.0, 121, 27222.0, -5
4317, 48, 5.699999999999999, 287, 146.4, 15.0, 52.0, -11.0, 87, 27309.0, -34
4371, 34, -1.299999999999999, 326, 238.5, 1.0, 53.00000000000001, -14.0, 126, 27435.0, 39
4423, 32, 3.8, 326, 226.8, -1.0, 52.0, -2.0, 126, 27561.0, 0
4478, 33, 5.7, 326, 226.8, 0.0, 52.0, 1.0, 126, 27687.0, 0
4531, 31, 3.2, 326, 226.8, -2.0, 50.0, -2.0, 126, 27813.0, 0
4586, 27, 0.0, 326, 226.8, -6.0, 44.0, -4.0, 126, 27939.0, 0
4639, 27, 1.4, 322, 218.4, -6.0, 38.0, 0.0, 122, 28061.0, -4
4697, 22, -4.2, 308, 190.2, -11.0, 27.0, -5.0, 108, 28169.0, -14
4748, 20, -4.8, 321, 221.7, -13.0, 14.0, -2.0, 121, 28290.0, 13
4805, 21, -4.100000000000001, 251, 70.8, -12.0, 2.0, 1.0, 51, 28341.0, -70
4856, 22, -4.800000000000001, 255, 100.2, -11.0, -9.0, 1.0, 55, 28396.0, 4
4915, 22, -6.4, 243, 73.80000000000002, -11.0, -20.0, 0.0, 43, 28439.0, -12
4968, 35, 5.5, 243, 77.40000000000001, 2.0, -18.0, 13.0, 43, 28482.0, 0
5027, 40, 4.2, 259, 111.0, 7.0, -11.0, 5.0, 59, 28541.0, 16
5082, 35, -2.6, 271, 131.4, 2.0, -9.0, -5.0, 71, 28612.0, 12
5136, 30, -4.9, 282, 150.9, -3.0, -12.0, -5.0, 82, 28694.0, 11
5189, 31, -1.7, 326, 240.0, -2.0, -14.0, 1.0, 126, 28820.0, 44
5245, 34, 0.6, 280, 130.2, 1.0, -13.0, 3.0, 80, 28900.0, -46
5299, 35, 0.2, 279, 141.9, 2.0, -11.0, 1.0, 79, 28979.0, -1
5355, 33, -2.1, 257, 96.00000000000001, 0.0, -11.0, -2.0, 57, 29036.0, -22
5408, 36, 1.9, 259, 106.8, 3.0, -8.0, 3.0, 59, 29095.0, 2
5461, 39, 3.7, 259, 106.2, 6.0, -2.0, 3.0, 59, 29154.0, 0
5516, 33, -3.2, 282, 154.5, 0.0, -2.0, -6.0, 82, 29236.0, 23
5569, 32, -1.2, 280, 143.4, -1.0, -3.0, -1.0, 80, 29316.0, -2
5627, 28, -4.8, 285, 154.5, -5.0, -8.0, -4.0, 85, 29401.0, 5
5685, 32, 0.7, 286, 155.1, -1.0, -9.0, 4.0, 86, 29487.0, 1
5737, 33, -0.4, 280, 142.2, 0.0, -9.0, 1.0, 80, 29567.0, -6
5790, 34, 0.1, 278, 139.8, 1.0, -8.0, 1.0, 78, 29645.0, -2
5846, 34, -0.3, 273, 129.9, 1.0, -7.0, 0.0, 73, 29718.0, -5
5907, 35, 0.8, 280, 146.1, 2.0, -5.0, 1.0, 80, 29798.0, 7
5960, 37, 2.5, 280, 144.0, 4.0, -1.0, 2.0, 80, 29878.0, 0
6016, 36, 0.9000000000000002, 281, 146.1, 3.0, 2.0, -1.0, 81, 29959.0, 1
6069, 35, 0.7000000000000002, 281, 145.8, 2.0, 4.0, -1.0, 81, 30040.0, 0
6126, 36, 2.4, 281, 145.8, 3.0, 7.0, 1.0, 81, 30121.0, 0
6176, 37, 3.2, 290, 164.7, 4.0, 11.0, 1.0, 90, 30211.0, 9
6229, 37, 3.1, 290, 162.0, 4.0, 15.0, 0.0, 90, 30301.0, 0
6286, 36, 2.5, 290, 162.0, 3.0, 18.0, -1.0, 90, 30391.0, 0
6341, 35, 2.3, 290, 162.0, 2.0, 20.0, -1.0, 90, 30481.0, 0
6395, 37, 5.0, 290, 162.0, 4.0, 24.0, 2.0, 90, 30571.0, 0
6449, 37, 4.4, 290, 162.0, 4.0, 28.0, 0.0, 90, 30661.0, 0
6505, 35, 2.8, 290, 162.0, 2.0, 30.0, -2.0, 90, 30751.0, 0
6559, 28, -3.0, 281, 143.1, -5.0, 25.0, -7.0, 81, 30832.0, -9
6609, 24, -4.0, 288, 160.5, -9.0, 16.0, -4.0, 88, 30920.0, 7
6667, 23, -3.9, 287, 156.3, -10.0, 6.0, -1.0, 87, 31007.0, -1
6722, 25, -2.4, 294, 171.3, -8.0, -2.0, 2.0, 94, 31101.0, 7
6777, 26, -3.2, 294, 169.2, -7.0, -9.0, 1.0, 94, 31195.0, 0
6834, 27, -3.4, 294, 169.2, -6.0, -15.0, 1.0, 94, 31289.0, 0
6887, 30, -1.5, 289, 158.7, -3.0, -18.0, 3.0, 89, 31378.0, -5
6941, 33, -0.3, 288, 158.1, 0.0, -18.0, 3.0, 88, 31466.0, -1
6996, 35, 0.2, 289, 160.5, 2.0, -16.0, 2.0, 89, 31555.0, 1
7050, 33, -2.6, 289, 160.2, 0.0, -16.0, -2.0, 89, 31644.0, 0
7105, 33, -1.6, 289, 160.2, 0.0, -16.0, 0.0, 89, 31733.0, 0
7158, 32, -2.6, 288, 158.1, -1.0, -17.0, -1.0, 88, 31821.0, -1
7213, 34, -0.2000000000000002, 296, 175.2, 1.0, -16.0, 2.0, 96, 31917.0, 8
7266, 38, 2.9, 288, 156.0, 5.0, -11.0, 4.0, 88, 32005.0, -8
7319, 38, 1.4, 281, 143.7, 5.0, -6.0, 0.0, 81, 32086.0, -7
7375, 38, 1.9, 288, 160.5, 5.0, -1.0, 0.0, 88, 32174.0, 7
7430, 40, 4.4, 288, 158.4, 7.0, 6.0, 2.0, 88, 32262.0, 0
7486, 41, 5.100000000000001, 290, 162.6, 8.0, 14.0, 1.0, 90, 32352.0, 2
7538, 41, 5.4, 290, 162.0, 8.0, 22.0, 0.0, 90, 32442.0, 0
7596, 35, 0.2000000000000002, 281, 143.1, 2.0, 24.0, -6.0, 81, 32523.0, -9
7650, 32, 0.4000000000000004, 288, 160.5, -1.0, 23.0, -3.0, 88, 32611.0, 7
7707, 29, -1.2, 288, 158.4, -4.0, 19.0, -3.0, 88, 32699.0, 0
7761, 28, -1.1, 294, 171.0, -5.0, 14.0, -1.0, 94, 32793.0, 6
7816, 27, -2.100000000000001, 290, 160.8, -6.0, 8.0, -1.0, 90, 32883.0, -4
