time, color, angle, distance, speed, color_dev, color_int, color_der, speed_dev, speed_int, speed_der
0, 27, -7.799999999999999, 871, 1006.5, -6.0, -6.0, -6.0, 671, 671.0, 671.0
58, 27, -5.399999999999999, 864, 794.6999999999999, -6.0, -12.0, 0.0, 664, 1335.0, -7
111, 28, -4.7, 857, 786.3, -5.0, -17.0, 1.0, 657, 1992.0, -7
166, 31, -1.8, 863, 797.4, -2.0, -19.0, 3.0, 663, 2655.0, 6
218, 34, 0.3999999999999999, 893, 840.6000000000001, 1.0, -18.0, 3.0, 693, 3348.000000000001, 30
272, 37, 2.899999999999999, 857, 777.6000000000001, 4.0, -14.0, 3.0, 657, 4005.000000000001, -36
326, 37, 1.8, 845, 770.4, 4.0, -10.0, 0.0, 645, 4650.0, -12
379, 43, 10.0, 757, 642.0, 10.0, 0.0, 6.0, 557, 5207.000000000001, -88
442, 44, 9.299999999999999, 839, 791.4, 11.0, 11.0, 1.0, 639, 5846.0, 82
494, 41, 6.0, 842, 771.3, 8.0, 19.0, -3.0, 642, 6488.0, 3
549, 33, -2.1, 818, 734.4, 0.0, 19.0, -8.0, 618, 7106.000000000001, -24
609, 23, -11.1, 802, 717.6, -10.0, 9.0, -10.0, 602, 7708.0, -16
668, 23, -7.1, 796, 713.4, -10.0, -1.0, 0.0, 596, 8304.0, -6
727, 32, 3.6, 380, 91.20000000000001, -1.0, -2.0, 9.0, 180, 8484.0, -416
777, 38, 6.8, 765, 793.5, 5.0, 3.0, 6.0, 565, 9048.999999999999, 385
835, 43, 10.8, 784, 706.5, 10.0, 13.0, 5.0, 584, 9633.000000000001, 19
887, 39, 4.1, 784, 700.8, 6.0, 19.0, -4.0, 584, 10217.0, 0
943, 29, -6.3, 784, 700.8, -4.0, 15.0, -10.0, 584, 10801.0, 0
996, 26, -5.6, 784, 700.8, -7.0, 8.0, -3.0, 584, 11385.0, 0
1052, 22, -10.0, 730, 619.8, -11.0, -3.0, -4.0, 530, 11915.0, -54
1107, 29, 0.0, 517, 316.5, -4.0, -7.0, 7.0, 317, 12232.0, -213
1162, 37, 6.5, 517, 380.4, 4.0, -3.0, 8.0, 317, 12549.0, 0
1218, 39, 5.499999999999999, 517, 380.4, 6.0, 3.0, 2.0, 317, 12866.0, 0
1269, 40, 6.399999999999999, 517, 380.4, 7.0, 10.0, 1.0, 317, 13183.0, 0
1328, 37, 2.7, 517, 380.4, 4.0, 14.0, -3.0, 317, 13500.0, 0
1383, 35, 2.0, 695, 647.4, 2.0, 16.0, -2.0, 495, 13995.0, 178
1438, 29, -4.6, 680, 571.5, -4.0, 12.0, -6.0, 480, 14475.0, -15
1497, 26, -5.899999999999999, 677, 571.5, -7.0, 5.0, -3.0, 477, 14952.0, -3
1548, 26, -5.1, 726, 645.9, -7.0, -2.0, 0.0, 526, 15478.0, 49
1607, 33, 3.3, 708, 604.2000000000001, 0.0, -2.0, 7.0, 508, 15986.0, -18
1658, 35, 2.4, 672, 555.6, 2.0, 0.0, 2.0, 472, 16458.0, -36
1715, 39, 6.799999999999999, 674, 569.4, 6.0, 6.0, 4.0, 474, 16932.0, 2
1772, 42, 9.300000000000001, 672, 565.7999999999999, 9.0, 15.0, 3.0, 472, 17404.0, -2
1827, 38, 3.5, 658, 545.4, 5.0, 20.0, -4.0, 458, 17862.0, -14
1882, 31, -3.1, 648, 534.6, -2.0, 18.0, -7.0, 448, 18310.0, -10
1936, 23, -10.2, 630, 510.6000000000001, -10.0, 8.0, -8.0, 430, 18740.0, -18
1991, 20, -11.1, 634, 522.0, -13.0, -5.0, -3.0, 434, 19174.0, 4
2050, 30, 2.100000000000001, 609, 483.2999999999999, -3.0, -8.0, 10.0, 409, 19583.0, -25
2107, 41, 11.1, 609, 490.7999999999999, 8.0, 0.0, 11.0, 409, 19992.0, 0
2161, 44, 10.3, 588, 459.3, 11.0, 11.0, 3.0, 388, 20380.0, -21
2216, 42, 7.300000000000001, 567, 434.1, 9.0, 20.0, -2.0, 367, 20747.0, -21
2270, 36, 1.4, 580, 459.9, 3.0, 23.0, -6.0, 380, 21127.0, 13
2323, 24, -10.9, 567, 436.5, -9.0, 14.0, -12.0, 367, 21494.0, -13
2380, 19, -12.3, 563, 434.4, -14.0, 0.0, -5.0, 363, 21857.0, -4
2438, 21, -8.599999999999998, 326, 80.1, -12.0, -12.0, 2.0, 126, 21983.0, -237
2496, 31, 2.2, 326, 151.2, -2.0, -14.0, 10.0, 126, 22109.0, 0
2551, 41, 10.0, 519, 440.7, 8.0, -6.0, 10.0, 319, 22428.0, 193
2601, 39, 3.199999999999999, 504, 360.3, 6.0, 0.0, -2.0, 304, 22732.0, -15
2656, 39, 4.799999999999999, 487, 339.3, 6.0, 6.0, 0.0, 287, 23019.0, -17
2709, 31, -5.0, 491, 350.4, -2.0, 4.0, -8.0, 291, 23310.0, 4
2764, 35, 4.0, 491, 349.2, 2.0, 6.0, 4.0, 291, 23601.0, 0
2820, 31, -3.0, 483, 337.2, -2.0, 4.0, -4.0, 283, 23884.0, -8
2871, 33, 1.4, 490, 350.1, 0.0, 4.0, 2.0, 290, 24174.0, 7
2930, 29, -4.8, 462, 306.0, -4.0, 0.0, -4.0, 262, 24436.0, -28
