time, color, angle, distance, speed, color_dev, color_int, color_der, speed_dev, speed_int, speed_der
0, 35, 2.0, 865, 598.5, 2.0, 2.0, 2.0, 665, 665.0, 665.0
102, 35, 1.2, 865, 399.0, 2.0, 4.0, 0.0, 665, 1330.0, 0
206, 47, 13.4, 863, 397.2, 14.0, 18.0, 12.0, 663, 1993.0, -2
311, 50, 11.8, 847, 383.4, 17.0, 35.0, 3.0, 647, 2640.000000000001, -16
414, 24, -14.0, 812, 356.7, -9.0, 26.0, -26.0, 612, 3252.000000000001, -35
517, 11, -14.9, 765, 324.9, -22.0, 4.0, -13.0, 565, 3817.0, -47
622, 17, -4.600000000000001, 758, 332.7, -16.0, -12.0, 6.0, 558, 4375.0, -7
726, 31, 4.8, 744, 322.2, -2.0, -14.0, 14.0, 544, 4919.0, -14
832, 31, -2.4, 704, 290.4, -2.0, -16.0, 0.0, 504, 5423.000000000001, -40
941, 29, -4.6, 672, 273.6, -4.0, -20.0, -2.0, 472, 5895.0, -32
1045, 39, 6.0, 674, 285.0, 6.0, -14.0, 10.0, 474, 6369.000000000001, 2
1152, 42, 4.6, 742, 345.6, 9.0, -5.0, 3.0, 542, 6911.0, 68
1258, 34, -4.0, 653, 245.1, 1.0, -4.0, -8.0, 453, 7364.000000000001, -89
1363, 44, 10.1, 598, 222.3, 11.0, 7.0, 10.0, 398, 7762.0, -55
1467, 53, 15.2, 573, 216.3, 20.0, 27.0, 9.0, 373, 8135.000000000002, -25
1573, 35, -5.3, 559, 211.2, 2.0, 29.0, -18.0, 359, 8494.0, -14
1676, 24, -7.1, 527, 186.6, -9.0, 20.0, -11.0, 327, 8821.000000000002, -32
1782, 29, 2.5, 504, 175.5, -4.0, 16.0, 5.0, 304, 9125.0, -23
1885, 35, 5.6, 490, 169.8, 2.0, 18.0, 6.0, 290, 9415.000000000001, -14
1991, 28, -4.2, 473, 158.7, -5.0, 13.0, -7.0, 273, 9688.000000000001, -17
2096, 29, -0.2000000000000001, 455, 147.6, -4.0, 9.0, 1.0, 255, 9943.000000000001, -18
2201, 30, -0.1000000000000001, 448, 146.7, -3.0, 6.0, 1.0, 248, 10191.0, -7
2307, 30, -0.9000000000000002, 439, 140.7, -3.0, 3.0, 0.0, 239, 10430.0, -9
2411, 29, -2.2, 428, 133.5, -4.0, -1.0, -1.0, 228, 10658.0, -11
2519, 29, -2.1, 420, 129.6, -4.0, -5.0, 0.0, 220, 10878.0, -8
2622, 35, 3.5, 412, 124.8, 2.0, -3.0, 6.0, 212, 11090.0, -8
2725, 39, 4.7, 406, 121.8, 6.0, 3.0, 4.0, 206, 11296.0, -6
2833, 33, -2.7, 399, 117.3, 0.0, 3.0, -6.0, 199, 11495.0, -7
2940, 29, -3.7, 393, 114.0, -4.0, -1.0, -4.0, 193, 11688.0, -6
3044, 29, -2.1, 384, 107.7, -4.0, -5.0, 0.0, 184, 11872.0, -9
3147, 32, 0.5, 376, 103.2, -1.0, -6.0, 3.0, 176, 12048.0, -8
3253, 33, -0.1000000000000001, 374, 103.8, 0.0, -6.0, 1.0, 174, 12222.0, -2
3358, 34, 0.4, 365, 96.30000000000001, 1.0, -5.0, 1.0, 165, 12387.0, -9
3463, 38, 4.0, 364, 98.1, 5.0, 0.0, 4.0, 164, 12551.0, -1
3571, 39, 3.5, 370, 103.8, 6.0, 6.0, 1.0, 170, 12721.0, 6
3680, 34, -1.4, 357, 90.29999999999999, 1.0, 7.0, -5.0, 157, 12878.0, -13
3786, 32, -0.7999999999999999, 353, 90.6, -1.0, 6.0, -2.0, 153, 13031.0, -4
3891, 30, -1.9, 348, 87.3, -3.0, 3.0, -2.0, 148, 13179.0, -5
3996, 31, -0.2000000000000001, 347, 87.90000000000001, -2.0, 1.0, 1.0, 147, 13326.0, -1
4101, 30, -1.9, 345, 86.40000000000001, -3.0, -2.0, -1.0, 145, 13471.0, -2
4205, 31, -0.7000000000000002, 340, 82.5, -2.0, -4.0, 1.0, 140, 13611.0, -5
4311, 33, 0.6, 330, 75.0, 0.0, -4.0, 2.0, 130, 13741.0, -10
4414, 36, 2.6, 340, 87.00000000000001, 3.0, -1.0, 3.0, 140, 13881.0, 10
4520, 36, 1.4, 329, 74.1, 3.0, 2.0, 0.0, 129, 14010.0, -11
4623, 37, 2.7, 329, 77.39999999999999, 4.0, 6.0, 1.0, 129, 14139.0, 0
4726, 34, -0.3999999999999999, 329, 77.39999999999999, 1.0, 7.0, -3.0, 129, 14268.0, 0
4831, 30, -2.8, 326, 74.69999999999999, -3.0, 4.0, -4.0, 126, 14394.0, -3
4934, 31, -0.1000000000000001, 328, 77.39999999999999, -2.0, 2.0, 1.0, 128, 14522.0, 2
5041, 29, -2.8, 326, 75.0, -4.0, -2.0, -2.0, 126, 14648.0, -2
5144, 29, -2.2, 326, 75.6, -4.0, -6.0, 0.0, 126, 14774.0, 0
5248, 30, -1.6, 321, 71.09999999999999, -3.0, -9.0, 1.0, 121, 14895.0, -5
5351, 31, -1.4, 326, 77.1, -2.0, -11.0, 1.0, 126, 15021.0, 5
5457, 33, -0.1000000000000001, 326, 75.6, 0.0, -11.0, 2.0, 126, 15147.0, 0
5561, 36, 1.9, 321, 71.09999999999999, 3.0, -8.0, 3.0, 121, 15268.0, -5
5664, 37, 1.7, 326, 77.1, 4.0, -4.0, 1.0, 126, 15394.0, 5
5767, 36, 0.6000000000000001, 326, 75.6, 3.0, -1.0, -1.0, 126, 15520.0, 0
5875, 39, 4.4, 321, 71.09999999999999, 6.0, 5.0, 3.0, 121, 15641.0, -5
5981, 36, 0.5, 322, 73.50000000000001, 3.0, 8.0, -3.0, 122, 15763.0, 1
6084, 33, -0.7, 326, 76.8, 0.0, 8.0, -3.0, 126, 15889.0, 4
6190, 33, 0.8, 321, 71.09999999999999, 0.0, 8.0, 0.0, 121, 16010.0, -5
6293, 31, -1.2, 322, 73.50000000000001, -2.0, 6.0, -2.0, 122, 16132.0, 1
6400, 29, -2.4, 322, 73.2, -4.0, 2.0, -2.0, 122, 16254.0, 0
6509, 32, 1.2, 321, 72.3, -1.0, 1.0, 3.0, 121, 16375.0, -1
6613, 35, 2.6, 322, 73.50000000000001, 2.0, 3.0, 3.0, 122, 16497.0, 1
6719, 34, 0.3, 322, 73.2, 1.0, 4.0, -1.0, 122, 16619.0, 0
6824, 34, 0.9, 322, 73.2, 1.0, 5.0, 0.0, 122, 16741.0, 0
6931, 35, 2.0, 304, 57.0, 2.0, 7.0, 1.0, 104, 16845.0, -18
7034, 36, 2.7, 308, 66.00000000000001, 3.0, 10.0, 1.0, 108, 16953.0, 4
7140, 33, -0.5, 322, 77.40000000000001, 0.0, 10.0, -3.0, 122, 17075.0, 14
7244, 32, 0.0, 322, 73.2, -1.0, 9.0, -1.0, 122, 17197.0, 0
7350, 29, -2.6, 322, 73.2, -4.0, 5.0, -3.0, 122, 17319.0, 0
7455, 28, -2.5, 304, 57.0, -5.0, 0.0, -1.0, 104, 17423.0, -18
7559, 29, -1.5, 297, 56.09999999999999, -4.0, -4.0, 1.0, 97, 17520.0, -7
7662, 29, -2.4, 296, 57.3, -4.0, -8.0, 0.0, 96, 17616.0, -1
7765, 30, -1.8, 297, 58.5, -3.0, -11.0, 1.0, 97, 17713.0, 1
7871, 32, -0.6000000000000001, 304, 64.5, -1.0, -12.0, 2.0, 104, 17817.0, 7
7974, 31, -2.7, 308, 66.00000000000001, -2.0, -14.0, -1.0, 108, 17925.0, 4
8080, 33, -0.4000000000000002, 322, 77.40000000000001, 0.0, -14.0, 2.0, 122, 18047.0, 14
8185, 38, 3.6, 304, 57.0, 5.0, -9.0, 5.0, 104, 18151.0, -18
8290, 38, 1.6, 308, 66.00000000000001, 5.0, -4.0, 0.0, 108, 18259.0, 4
8394, 36, 0.1000000000000001, 322, 77.40000000000001, 3.0, -1.0, -2.0, 122, 18381.0, 14
8500, 36, 1.4, 308, 60.6, 3.0, 2.0, 0.0, 108, 18489.0, -14
8604, 37, 2.7, 308, 64.8, 4.0, 6.0, 1.0, 108, 18597.0, 0
